#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
filtered_barcode04_extracted_plasmids.fastq	017c31fb-c9cb-461b-93e3-3257ca3cda10	358	1401	-	blaCMY-129_1	37-1100/1146	========/======	42/78	88.57	68.34	resfinder	KM985467	blaCMY-129	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	01ef0c33-2dbb-4083-ac83-f098519696ca	2836	3176	+	tet(34)_1	66-421/465	.=======/=====.	11/25	72.26	70.64	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	01f497b8-108f-46c7-8f06-cf2efe42e86a	232	1073	+	blaCMY-155_1	98-932/1146	.=======/====..	28/43	71.29	68.61	resfinder	KR261698	blaCMY-155	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	02028073-ea4f-40b1-95ff-eb3e1771f9ea	3800	4150	-	tet(34)_1	66-421/465	.=======/=====.	16/29	72.90	71.74	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	021acf6c-9309-4c86-83a4-5b6e0562df24	1185	2219	+	lsa(A)_1	1-1026/1497	========/==....	46/75	66.33	87.92	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	0233b538-56ca-4529-a610-1e81aa9912d1	202	967	+	blaCFE-1_1	142-917/1146	.=======/====..	37/74	64.05	66.83	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	023b0404-58cd-4c02-902c-b30db60cc591	4774	5998	+	mdf(A)_1	1-1227/1233	========/======	26/46	97.57	91.43	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	02476aa6-cd31-4e82-9f2c-951cc74095cd	2776	3740	+	blaCFE-1_1	76-1094/1146	========/======	43/110	81.76	66.19	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	025de703-0865-40c4-a851-5654fd73fd35	1244	2201	+	blaACT-12_1	140-1097/1146	.=======/======	39/66	80.72	67.91	resfinder	JX440355	blaACT-12	
filtered_barcode04_extracted_plasmids.fastq	02703fde-0c4f-4c30-b3dd-ca1697c6c1ef	512	1572	+	blaCMY-108_1	37-1097/1146	========/======	39/70	89.53	68.16	resfinder	KF564648	blaCMY-108	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	02b1c591-6058-4e42-9ff9-fe66316a4608	1891	2286	+	tet(34)_1	1-421/465	========/=====.	15/27	84.95	67.77	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	02b4dab9-34cd-435e-8a68-dc4fdf9debd5	33	1173	+	mdf(A)_1	1-1219/1233	========/======	50/114	91.08	82.30	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	02c1a29f-1232-45f7-97ba-c678cfd7b524	1030	1965	-	blaCMY-39_1	136-1100/1146	.=======/======	45/69	79.93	68.53	resfinder	AB372224	blaCMY-39	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	02e77daa-d91e-4861-8b48-d3d2ba5e0e2f	1510	2725	-	mdf(A)_1	1-1226/1233	========/======	47/90	95.38	87.44	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	02fae2bb-42fd-4d53-9a45-f9d8bfbbb231	2714	3947	-	mdf(A)_1	1-1233/1233	========/======	55/95	96.19	86.96	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	038b2256-23fa-4ca7-8ec0-f1be87fad8bf	2686	3001	-	tet(34)_1	106-421/465	...=====/=====.	14/22	65.59	71.86	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	03a107cf-867e-4ed1-a1af-7a4d0f29cc5c	1058	1981	-	blaCMY-104_1	169-1103/1146	..======/======	47/93	77.05	67.21	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	03b7b4b2-0c64-427c-8594-1fb4391e1074	3305	4268	+	mdf(A)_1	1-950/1233	========/===...	37/62	75.10	84.72	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	03c774b3-387f-420f-981c-244658a834bb	637	1562	+	mdf(A)_1	10-920/1233	========/===...	51/99	70.48	81.20	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	03cdfb11-406a-47e8-98f5-5b553f4e5f6e	49	953	-	blaCFE-1_1	37-952/1146	========/====..	33/61	76.79	68.97	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	03e17716-661d-4cee-9320-157132c73da3	5313	6064	+	blaCMY-39_1	183-944/1146	..======/====..	30/58	63.53	66.54	resfinder	AB372224	blaCMY-39	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	03f1ce52-df03-4af4-aa3e-52f888622866	3	840	-	blaCMY-129_1	44-889/1146	========/===...	30/60	70.86	68.92	resfinder	KM985467	blaCMY-129	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	040adc1d-f1d0-4890-b9e5-a353b9520d0d	1058	1390	-	tet(34)_1	77-413/465	..======/=====.	9/16	70.32	71.14	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	0417443a-f598-4236-aa09-fe28f15cc128	4145	5126	-	blaCMY-83_1	166-1146/1146	..======/======	42/77	82.29	67.06	resfinder	JX440351	blaCMY-83	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	04551dfa-530e-4d76-810c-4c67d97fe90e	3869	4200	-	tet(34)_1	77-413/465	..======/=====.	6/11	70.75	71.18	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	046c853f-8f66-4e98-8ffb-c3bac8714209	4875	5851	+	blaCFE-1_1	133-1146/1146	.=======/======	36/65	84.03	67.61	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	0474aee4-7797-4e48-b57b-a7eee9d82fe5	3836	5051	-	mdf(A)_1	1-1218/1233	========/======	23/34	97.32	93.44	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	049b64cf-0064-4aff-9145-b32ba5de46e0	1627	2856	-	mdf(A)_1	1-1223/1233	========/======	41/75	96.43	89.48	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	04ab7dd9-cba6-41f3-90dd-e36ba10abba1	1	973	-	lsa(A)_3	1-1004/1497	========/==....	50/83	63.26	86.70	resfinder	AY737526	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	04bd80a8-393f-4308-8237-919e5c9ae63c	722	1938	-	mdf(A)_1	1-1223/1233	========/======	58/98	94.97	86.05	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	04bdf151-2091-42d1-b4fb-c4357ddd6580	3823	5055	+	mdf(A)_1	1-1233/1233	========/======	40/74	97.00	88.74	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	04ec3ce1-2f4e-43a9-b019-23951ba327cd	1526	1880	-	tet(34)_1	66-417/465	.=======/=====.	14/25	73.33	71.04	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	04f85657-0295-453d-9a4b-b952b4bf0cf5	2983	3746	+	mdf(A)_1	1-813/1233	========/==....	29/63	61.39	85.98	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	0519f575-ed31-4047-9d54-257d28ed570a	2004	3197	-	mdf(A)_1	1-1226/1233	========/======	46/84	94.73	87.54	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	051d39c6-e673-4360-a6a9-0098653c7d3d	938	1722	+	blaCMY-46_1	133-901/1146	.=======/====..	32/48	65.71	68.29	resfinder	FN556186	blaCMY-46	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	052ee27e-80ee-4781-a313-92e5deb45c78	1825	2793	-	blaCMY-64_1	142-1103/1146	.=======/======	37/59	81.68	68.24	resfinder	HQ832678	blaCMY-64	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	056b77d0-dd58-439d-8490-b8bbc2448d03	4902	5218	+	tet(34)_1	1-321/465	========/==....	5/10	67.53	72.84	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	058008fe-fd45-4a05-b028-a03bc8e75966	4610	5765	-	mdf(A)_1	1-1226/1233	========/======	39/90	92.94	87.46	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	058c7e85-a839-4c00-982a-e2ce4b75eeb6	953	2202	+	mdf(A)_1	1-1233/1233	========/======	24/49	98.70	91.86	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	05903173-edd3-423c-a6c9-d279b30aa0bf	1891	2988	-	blaCFE-1_1	37-1146/1146	========/======	36/80	92.84	68.18	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	05a9dc89-1824-4e3a-a582-022530fea4a5	918	1235	+	tet(34)_1	66-386/465	.=======/====..	8/23	66.24	70.09	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	05ae7508-57ac-433d-a5ee-ffa3c488ff3f	5546	6516	-	blaCMY-104_1	133-1130/1146	.=======/======	46/67	82.98	67.98	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	05dedbe0-5d6c-4f62-85f0-aeacd3b07f01	1516	2574	-	blaCMY-104_1	37-1130/1146	========/======	39/73	90.75	69.00	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	05eb46eb-a03a-4b58-89d6-123829c7fd2e	1734	2722	-	blaCMY-104_1	142-1130/1146	.=======/======	30/56	83.86	67.75	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	05f668bd-9691-42af-b040-0b5d087b88e8	561	1798	+	mdf(A)_1	1-1229/1233	========/======	35/59	97.65	90.26	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	06070971-37b1-4ff2-b9ca-173511a9b2ab	1768	2971	-	mdf(A)_1	1-1228/1233	========/======	37/64	96.03	88.46	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	061af58e-af95-4435-9984-7bcceec630d0	1122	1534	+	tet(34)_1	1-421/465	========/=====.	10/18	87.74	70.66	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	063179a4-19e8-4679-ba3a-4b17e313abb7	1718	2949	+	mdf(A)_1	1-1230/1233	========/======	34/54	97.65	91.02	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	0637c708-9f12-4c0d-abc2-41bbb2615441	4132	5243	+	mdf(A)_1	1-1125/1233	========/=====.	29/55	88.48	89.53	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	064047a9-6209-41ff-82a0-88f15e6386d5	4444	5678	-	mdf(A)_1	1-1223/1233	========/======	49/78	96.51	88.88	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	06603ef3-a75b-430c-98d6-8bc82ec2f6ba	3039	3973	-	blaCMY-27_1	170-1094/1146	..======/======	45/78	77.75	67.59	resfinder	EU515250	blaCMY-27	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	06662dc2-9864-4aa7-95b7-1f38227653ef	203	1242	+	blaCMY-129_1	37-1100/1146	========/======	39/78	88.39	66.27	resfinder	KM985467	blaCMY-129	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	0675ac0d-dbd1-4f67-b396-ddda4198ff26	328	687	-	tet(34)_1	66-421/465	.=======/=====.	10/14	75.48	72.33	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	067c8597-0520-47e6-946f-b27ca8c16838	3569	4525	+	blaCMY-106_1	151-1094/1146	.=======/======	34/63	80.19	68.02	resfinder	KM983294	blaCMY-106	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	06a8da1b-1205-4f88-a573-b77d034d3785	22	1055	+	blaCMY-37_1	42-1100/1146	========/======	40/83	87.70	68.02	resfinder	AB280919	blaCMY-37	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	07076727-d24e-4024-bae9-79756ff23e0c	11	1265	-	lsa(A)_1	1-1247/1497	========/====..	44/74	81.10	90.68	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	073aa674-14b3-4146-ae69-051388c79c0e	2495	3592	-	blaCFE-1_1	37-1146/1146	========/======	36/70	93.28	68.75	resfinder	AB107899	blaCFE-1	
filtered_barcode04_extracted_plasmids.fastq	0768a1f6-fbfc-413e-9175-944703f08927	684	1874	-	mdf(A)_1	1-1228/1233	========/======	36/59	95.70	90.80	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	077ac952-015a-4375-98c6-34af0b901c35	663	1925	+	mdf(A)_1	1-1233/1233	========/======	45/80	97.97	87.81	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	0790662c-99d2-4901-85c6-b01bc0bf3adc	1907	3365	-	lsa(A)_1	1-1497/1497	========/======	66/134	94.26	85.37	resfinder	AY225127	lsa(A)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M
filtered_barcode04_extracted_plasmids.fastq	07b8c058-520d-408f-882b-4c9f0e0e6951	663	1878	-	mdf(A)_1	1-1233/1233	========/======	35/51	97.24	90.08	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	081dc963-d6e2-4661-becc-3632617f9a9f	3867	4968	+	mdf(A)_1	1-1089/1233	========/=====.	32/55	86.62	89.49	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	08742958-5764-4374-be6f-9c7e0943982a	2548	3502	+	blaCMY-119_1	135-1093/1146	.=======/======	28/58	80.98	68.36	resfinder	KM087845	blaCMY-119	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	088858b9-24e6-4b49-9985-5725bbe3850f	2	1156	+	mdf(A)_1	64-1233/1233	========/======	42/69	91.48	87.14	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	08905567-6e8e-4b0b-b4a2-d9ee58791643	1485	1794	-	tet(34)_1	113-421/465	...=====/=====.	11/17	64.73	70.75	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	08a064c0-fbfa-4621-b806-a7e6c3cd492c	1354	2286	+	blaCMY-101_1	140-1099/1146	.=======/======	31/59	80.02	69.26	resfinder	KF526114	blaCMY-101	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	08cb4b9f-821c-4b74-a24b-ed1bfd6c1940	2	777	-	mdf(A)_1	1-787/1233	========/=.....	20/33	62.04	91.48	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	09458b07-6b1b-4ce2-81d5-ea4ae6df1ab0	1541	1884	+	tet(34)_1	71-421/465	..======/=====.	11/19	72.69	71.99	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	094de12f-861c-4c54-b99d-610c1ec44701	357	1598	+	mdf(A)_1	5-1233/1233	========/======	37/61	97.73	90.05	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	0977a066-59b7-447e-9239-a7e56609b1bf	1516	2475	+	blaCMY-109_1	139-1103/1146	.=======/======	36/69	80.98	67.70	resfinder	AJ746169	blaCMY-109	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	098f3527-95e9-4fb2-b4f2-f0b1e128a1a6	1169	1512	-	tet(34)_1	71-417/465	..======/=====.	15/29	71.18	70.83	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	09c5e9ee-827f-47d9-9a59-7bc31c290e72	3418	3773	-	tet(34)_1	66-421/465	.=======/=====.	8/14	75.05	73.55	resfinder	AB061440	tet(34)	
filtered_barcode04_extracted_plasmids.fastq	0a12ff1a-ba3d-473d-a0d0-1d0ce6c6a425	1058	2270	-	mdf(A)_1	1-1228/1233	========/======	34/63	96.43	90.97	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	0a3bf4c2-27cc-4685-ab93-1197d6ca0489	2455	3400	-	blaCMY-104_1	143-1094/1146	.=======/======	26/42	80.98	71.44	resfinder	KF150216	blaCMY-104	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
filtered_barcode04_extracted_plasmids.fastq	0a4d6b24-4664-49c8-9823-dbe7dc473f51	477	1708	+	mdf(A)_1	1-1233/1233	========/======	38/57	97.65	90.25	resfinder	Y08743	mdf(A)	
filtered_barcode04_extracted_plasmids.fastq	0a63f2a9-891b-422e-9ce2-0ba698d17e25	6362	7409	-	blaCMY-108_1	37-1100/1146	========/======	36/58	89.62	67.56	resfinder	KF564648	blaCMY-108	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
